file,intended_use,source_url,licence,attribution_required,attribution_text,quality
assets/entries/a-tribute-to-michael-di-cesaro-2.jpg,Entry cover — A Tribute to Michael Di Cesaro,Judge DiCesaro personal photo library (Apple Photos IMG_4292),Owned by Judge DiCesaro — no third-party licence,no,,ok — but same frame used in 4 slots
assets/entries/the-halfway-eulogy-3.jpg,Entry cover — The Halfway Eulogy,Judge DiCesaro personal photo library (IMG_4524),Owned by Judge DiCesaro — no third-party licence,no,,marginal — identifiable people at the table
assets/entries/the-ninth-decade-4.jpg,Entry cover — The Ninth Decade,Judge DiCesaro personal photo library (IMG_4489),Owned by Judge DiCesaro — no third-party licence,no,,REPLACE — crop is an illegible dark smear
assets/entries/an-endorsement-and-a-marriage-5.jpg,Entry cover — An Endorsement and a Marriage,Judge DiCesaro personal photo library (IMG_4410),Owned by Judge DiCesaro — no third-party licence,no,,REPLACE — names a real contractor
assets/entries/for-doug-6.jpg,Entry cover — For Doug,Judge DiCesaro personal photo library (IMG_4547),Owned by Judge DiCesaro — no third-party licence,no,,good
assets/entries/micro-learning-micro-results-7.jpg,Entry cover — Micro Learning Micro Results,Judge DiCesaro personal photo library (IMG_4566),Owned by Judge DiCesaro — no third-party licence,no,,good
assets/entries/chicago-a-farewell-8.jpg,Entry cover — Chicago A Farewell,Judge DiCesaro personal photo library (IMG_4494),Owned by Judge DiCesaro — no third-party licence,no,,REPLACE — reads as roadkill not a batch label
assets/entries/the-short-game-9.jpg,Entry cover — The Short Game,Judge DiCesaro personal photo library (IMG_4475),Owned by Judge DiCesaro — no third-party licence,no,,good
assets/product/tribute-consultation.jpg,Product image — Tribute Consultation ($50),Judge DiCesaro personal photo library (IMG_4323),Owned by Judge DiCesaro — no third-party licence,no,,strongest frame in the set
assets/offerings/eulogies-and-memorials.jpg,/offerings section — eulogies & memorials,Judge DiCesaro personal photo library (IMG_4297),Owned by Judge DiCesaro — no third-party licence,no,,REPLACE — murky through display glass
assets/offerings/celebration-speeches.jpg,/offerings section — celebration speeches,Judge DiCesaro personal photo library (IMG_4290),Owned by Judge DiCesaro — no third-party licence,no,,ok — near-duplicate of entry 2
assets/offerings/written-keepsakes.jpg,/offerings section — written keepsakes,Judge DiCesaro personal photo library (IMG_4291),Owned by Judge DiCesaro — no third-party licence,no,,REPLACE — third near-duplicate stage frame
assets/social/og-default.jpg,Social / OG card — site default,Judge DiCesaro personal photo library (IMG_4323),Owned by Judge DiCesaro — no third-party licence,no,,good
assets/social/og-offerings.jpg,Social / OG card — /offerings,Judge DiCesaro personal photo library (IMG_4292),Owned by Judge DiCesaro — no third-party licence,no,,ok — fourth use of the stage frame
